"Notes"	"State of Residence"	"State of Residence Code"	"Month"	"Month Code"	"Year"	"Year Code"	Births
	"Nevada"	"32"	"March"	"3"	"2019"	"2019"	2813
	"Nevada"	"32"	"March"	"3"	"2020"	"2020"	2821
	"Nevada"	"32"	"March"	"3"	"2021"	"2021"	2765
	"Nevada"	"32"	"March"	"3"	"2022"	"2022"	2647
"Total"	"Nevada"	"32"	"March"	"3"			19772
	"Nevada"	"32"	"April"	"4"	"2016"	"2016"	2873
	"Nevada"	"32"	"April"	"4"	"2017"	"2017"	2768
	"Nevada"	"32"	"April"	"4"	"2018"	"2018"	2766
	"Nevada"	"32"	"April"	"4"	"2019"	"2019"	2691
	"Nevada"	"32"	"April"	"4"	"2020"	"2020"	2669
	"Nevada"	"32"	"April"	"4"	"2021"	"2021"	2610
	"Nevada"	"32"	"April"	"4"	"2022"	"2022"	2632
"Total"	"Nevada"	"32"	"April"	"4"			19009
	"Nevada"	"32"	"May"	"5"	"2016"	"2016"	2979
	"Nevada"	"32"	"May"	"5"	"2017"	"2017"	3025
	"Nevada"	"32"	"May"	"5"	"2018"	"2018"	2949
	"Nevada"	"32"	"May"	"5"	"2019"	"2019"	2841
	"Nevada"	"32"	"May"	"5"	"2020"	"2020"	2739
	"Nevada"	"32"	"May"	"5"	"2021"	"2021"	2798
	"Nevada"	"32"	"May"	"5"	"2022"	"2022"	2668
"Total"	"Nevada"	"32"	"May"	"5"			19999
	"Nevada"	"32"	"June"	"6"	"2016"	"2016"	3078
	"Nevada"	"32"	"June"	"6"	"2017"	"2017"	3058
	"Nevada"	"32"	"June"	"6"	"2018"	"2018"	3005
	"Nevada"	"32"	"June"	"6"	"2019"	"2019"	2898
	"Nevada"	"32"	"June"	"6"	"2020"	"2020"	2747
	"Nevada"	"32"	"June"	"6"	"2021"	"2021"	2852
	"Nevada"	"32"	"June"	"6"	"2022"	"2022"	2651
"Total"	"Nevada"	"32"	"June"	"6"			20289
	"Nevada"	"32"	"July"	"7"	"2016"	"2016"	3150
	"Nevada"	"32"	"July"	"7"	"2017"	"2017"	3102
	"Nevada"	"32"	"July"	"7"	"2018"	"2018"	3141
	"Nevada"	"32"	"July"	"7"	"2019"	"2019"	3113
	"Nevada"	"32"	"July"	"7"	"2020"	"2020"	3070
	"Nevada"	"32"	"July"	"7"	"2021"	"2021"	2977
	"Nevada"	"32"	"July"	"7"	"2022"	"2022"	2917
"Total"	"Nevada"	"32"	"July"	"7"			21470
	"Nevada"	"32"	"August"	"8"	"2016"	"2016"	3295
	"Nevada"	"32"	"August"	"8"	"2017"	"2017"	3148
	"Nevada"	"32"	"August"	"8"	"2018"	"2018"	3309
	"Nevada"	"32"	"August"	"8"	"2019"	"2019"	3302
	"Nevada"	"32"	"August"	"8"	"2020"	"2020"	2955
	"Nevada"	"32"	"August"	"8"	"2021"	"2021"	3098
	"Nevada"	"32"	"August"	"8"	"2022"	"2022"	3028
"Total"	"Nevada"	"32"	"August"	"8"			22135
	"Nevada"	"32"	"September"	"9"	"2016"	"2016"	3256
	"Nevada"	"32"	"September"	"9"	"2017"	"2017"	3162
	"Nevada"	"32"	"September"	"9"	"2018"	"2018"	2946
	"Nevada"	"32"	"September"	"9"	"2019"	"2019"	3105
	"Nevada"	"32"	"September"	"9"	"2020"	"2020"	2924
	"Nevada"	"32"	"September"	"9"	"2021"	"2021"	2914
	"Nevada"	"32"	"September"	"9"	"2022"	"2022"	2865
"Total"	"Nevada"	"32"	"September"	"9"			21172
	"Nevada"	"32"	"October"	"10"	"2016"	"2016"	3052
	"Nevada"	"32"	"October"	"10"	"2017"	"2017"	3085
	"Nevada"	"32"	"October"	"10"	"2018"	"2018"	3090
	"Nevada"	"32"	"October"	"10"	"2019"	"2019"	3038
	"Nevada"	"32"	"October"	"10"	"2020"	"2020"	2910
	"Nevada"	"32"	"October"	"10"	"2021"	"2021"	2967
	"Nevada"	"32"	"October"	"10"	"2022"	"2022"	2830
"Total"	"Nevada"	"32"	"October"	"10"			20972
	"Nevada"	"32"	"November"	"11"	"2016"	"2016"	2904
	"Nevada"	"32"	"November"	"11"	"2017"	"2017"	2948
	"Nevada"	"32"	"November"	"11"	"2018"	"2018"	2967
	"Nevada"	"32"	"November"	"11"	"2019"	"2019"	2740
	"Nevada"	"32"	"November"	"11"	"2020"	"2020"	2673
	"Nevada"	"32"	"November"	"11"	"2021"	"2021"	2812
	"Nevada"	"32"	"November"	"11"	"2022"	"2022"	2850
"Total"	"Nevada"	"32"	"November"	"11"			19894
	"Nevada"	"32"	"December"	"12"	"2016"	"2016"	3020
	"Nevada"	"32"	"December"	"12"	"2017"	"2017"	2933
	"Nevada"	"32"	"December"	"12"	"2018"	"2018"	3010
	"Nevada"	"32"	"December"	"12"	"2019"	"2019"	2976
	"Nevada"	"32"	"December"	"12"	"2020"	"2020"	2765
	"Nevada"	"32"	"December"	"12"	"2021"	"2021"	2883
	"Nevada"	"32"	"December"	"12"	"2022"	"2022"	2850
"Total"	"Nevada"	"32"	"December"	"12"			20437
"Total"	"Nevada"	"32"					243302
	"New Hampshire"	"33"	"January"	"1"	"2016"	"2016"	972
	"New Hampshire"	"33"	"January"	"1"	"2017"	"2017"	931
	"New Hampshire"	"33"	"January"	"1"	"2018"	"2018"	982
	"New Hampshire"	"33"	"January"	"1"	"2019"	"2019"	904
	"New Hampshire"	"33"	"January"	"1"	"2020"	"2020"	911
	"New Hampshire"	"33"	"January"	"1"	"2021"	"2021"	838
	"New Hampshire"	"33"	"January"	"1"	"2022"	"2022"	883
"Total"	"New Hampshire"	"33"	"January"	"1"			6421
	"New Hampshire"	"33"	"February"	"2"	"2016"	"2016"	940
	"New Hampshire"	"33"	"February"	"2"	"2017"	"2017"	895
	"New Hampshire"	"33"	"February"	"2"	"2018"	"2018"	861
	"New Hampshire"	"33"	"February"	"2"	"2019"	"2019"	862
	"New Hampshire"	"33"	"February"	"2"	"2020"	"2020"	857
	"New Hampshire"	"33"	"February"	"2"	"2021"	"2021"	944
	"New Hampshire"	"33"	"February"	"2"	"2022"	"2022"	895
"Total"	"New Hampshire"	"33"	"February"	"2"			6254
	"New Hampshire"	"33"	"March"	"3"	"2016"	"2016"	1017
	"New Hampshire"	"33"	"March"	"3"	"2017"	"2017"	963
	"New Hampshire"	"33"	"March"	"3"	"2018"	"2018"	1011
	"New Hampshire"	"33"	"March"	"3"	"2019"	"2019"	965
	"New Hampshire"	"33"	"March"	"3"	"2020"	"2020"	1018
	"New Hampshire"	"33"	"March"	"3"	"2021"	"2021"	994
	"New Hampshire"	"33"	"March"	"3"	"2022"	"2022"	984
"Total"	"New Hampshire"	"33"	"March"	"3"			6952
	"New Hampshire"	"33"	"April"	"4"	"2016"	"2016"	1054
	"New Hampshire"	"33"	"April"	"4"	"2017"	"2017"	992
	"New Hampshire"	"33"	"April"	"4"	"2018"	"2018"	993
	"New Hampshire"	"33"	"April"	"4"	"2019"	"2019"	995
	"New Hampshire"	"33"	"April"	"4"	"2020"	"2020"	985
	"New Hampshire"	"33"	"April"	"4"	"2021"	"2021"	1084
	"New Hampshire"	"33"	"April"	"4"	"2022"	"2022"	967
"Total"	"New Hampshire"	"33"	"April"	"4"			7070
	"New Hampshire"	"33"	"May"	"5"	"2016"	"2016"	996
	"New Hampshire"	"33"	"May"	"5"	"2017"	"2017"	1086
	"New Hampshire"	"33"	"May"	"5"	"2018"	"2018"	1037
	"New Hampshire"	"33"	"May"	"5"	"2019"	"2019"	1020
	"New Hampshire"	"33"	"May"	"5"	"2020"	"2020"	1010
	"New Hampshire"	"33"	"May"	"5"	"2021"	"2021"	1098
	"New Hampshire"	"33"	"May"	"5"	"2022"	"2022"	1059
"Total"	"New Hampshire"	"33"	"May"	"5"			7306
	"New Hampshire"	"33"	"June"	"6"	"2016"	"2016"	1055
	"New Hampshire"	"33"	"June"	"6"	"2017"	"2017"	1108
	"New Hampshire"	"33"	"June"	"6"	"2018"	"2018"	981
	"New Hampshire"	"33"	"June"	"6"	"2019"	"2019"	986
	"New Hampshire"	"33"	"June"	"6"	"2020"	"2020"	1007
	"New Hampshire"	"33"	"June"	"6"	"2021"	"2021"	1134
	"New Hampshire"	"33"	"June"	"6"	"2022"	"2022"	1017
"Total"	"New Hampshire"	"33"	"June"	"6"			7288
	"New Hampshire"	"33"	"July"	"7"	"2016"	"2016"	1090
	"New Hampshire"	"33"	"July"	"7"	"2017"	"2017"	1093
	"New Hampshire"	"33"	"July"	"7"	"2018"	"2018"	1094
	"New Hampshire"	"33"	"July"	"7"	"2019"	"2019"	1095
	"New Hampshire"	"33"	"July"	"7"	"2020"	"2020"	1163
	"New Hampshire"	"33"	"July"	"7"	"2021"	"2021"	1185
	"New Hampshire"	"33"	"July"	"7"	"2022"	"2022"	1138
"Total"	"New Hampshire"	"33"	"July"	"7"			7858
	"New Hampshire"	"33"	"August"	"8"	"2016"	"2016"	1114
	"New Hampshire"	"33"	"August"	"8"	"2017"	"2017"	1088
	"New Hampshire"	"33"	"August"	"8"	"2018"	"2018"	1099
	"New Hampshire"	"33"	"August"	"8"	"2019"	"2019"	1098
	"New Hampshire"	"33"	"August"	"8"	"2020"	"2020"	1054
	"New Hampshire"	"33"	"August"	"8"	"2021"	"2021"	1181
	"New Hampshire"	"33"	"August"	"8"	"2022"	"2022"	1082
"Total"	"New Hampshire"	"33"	"August"	"8"			7716
	"New Hampshire"	"33"	"September"	"9"	"2016"	"2016"	1145
	"New Hampshire"	"33"	"September"	"9"	"2017"	"2017"	1054
	"New Hampshire"	"33"	"September"	"9"	"2018"	"2018"	1060
	"New Hampshire"	"33"	"September"	"9"	"2019"	"2019"	1009
	"New Hampshire"	"33"	"September"	"9"	"2020"	"2020"	1012
	"New Hampshire"	"33"	"September"	"9"	"2021"	"2021"	1104
	"New Hampshire"	"33"	"September"	"9"	"2022"	"2022"	1061
"Total"	"New Hampshire"	"33"	"September"	"9"			7445
	"New Hampshire"	"33"	"October"	"10"	"2016"	"2016"	1015
	"New Hampshire"	"33"	"October"	"10"	"2017"	"2017"	1025
	"New Hampshire"	"33"	"October"	"10"	"2018"	"2018"	1030
	"New Hampshire"	"33"	"October"	"10"	"2019"	"2019"	1055
	"New Hampshire"	"33"	"October"	"10"	"2020"	"2020"	1018
	"New Hampshire"	"33"	"October"	"10"	"2021"	"2021"	1095
	"New Hampshire"	"33"	"October"	"10"	"2022"	"2022"	1003
"Total"	"New Hampshire"	"33"	"October"	"10"			7241
	"New Hampshire"	"33"	"November"	"11"	"2016"	"2016"	948
	"New Hampshire"	"33"	"November"	"11"	"2017"	"2017"	962
	"New Hampshire"	"33"	"November"	"11"	"2018"	"2018"	971
	"New Hampshire"	"33"	"November"	"11"	"2019"	"2019"	907
	"New Hampshire"	"33"	"November"	"11"	"2020"	"2020"	894
	"New Hampshire"	"33"	"November"	"11"	"2021"	"2021"	1021
	"New Hampshire"	"33"	"November"	"11"	"2022"	"2022"	990
"Total"	"New Hampshire"	"33"	"November"	"11"			6693
	"New Hampshire"	"33"	"December"	"12"	"2016"	"2016"	921
	"New Hampshire"	"33"	"December"	"12"	"2017"	"2017"	919
	"New Hampshire"	"33"	"December"	"12"	"2018"	"2018"	876
	"New Hampshire"	"33"	"December"	"12"	"2019"	"2019"	943
	"New Hampshire"	"33"	"December"	"12"	"2020"	"2020"	862
	"New Hampshire"	"33"	"December"	"12"	"2021"	"2021"	947
	"New Hampshire"	"33"	"December"	"12"	"2022"	"2022"	998
"Total"	"New Hampshire"	"33"	"December"	"12"			6466
"Total"	"New Hampshire"	"33"					84710
	"New Jersey"	"34"	"January"	"1"	"2016"	"2016"	8180
	"New Jersey"	"34"	"January"	"1"	"2017"	"2017"	8020
	"New Jersey"	"34"	"January"	"1"	"2018"	"2018"	8205
	"New Jersey"	"34"	"January"	"1"	"2019"	"2019"	8018
	"New Jersey"	"34"	"January"	"1"	"2020"	"2020"	8161
	"New Jersey"	"34"	"January"	"1"	"2021"	"2021"	7189
	"New Jersey"	"34"	"January"	"1"	"2022"	"2022"	8154
"Total"	"New Jersey"	"34"	"January"	"1"			55927
	"New Jersey"	"34"	"February"	"2"	"2016"	"2016"	7920
	"New Jersey"	"34"	"February"	"2"	"2017"	"2017"	7509
	"New Jersey"	"34"	"February"	"2"	"2018"	"2018"	7468
	"New Jersey"	"34"	"February"	"2"	"2019"	"2019"	7358
	"New Jersey"	"34"	"February"	"2"	"2020"	"2020"	7555
	"New Jersey"	"34"	"February"	"2"	"2021"	"2021"	7377
	"New Jersey"	"34"	"February"	"2"	"2022"	"2022"	7739
"Total"	"New Jersey"	"34"	"February"	"2"			52926
	"New Jersey"	"34"	"March"	"3"	"2016"	"2016"	8505
	"New Jersey"	"34"	"March"	"3"	"2017"	"2017"	8496
	"New Jersey"	"34"	"March"	"3"	"2018"	"2018"	8515
	"New Jersey"	"34"	"March"	"3"	"2019"	"2019"	7990
	"New Jersey"	"34"	"March"	"3"	"2020"	"2020"	8174
	"New Jersey"	"34"	"March"	"3"	"2021"	"2021"	8447
	"New Jersey"	"34"	"March"	"3"	"2022"	"2022"	8661
"Total"	"New Jersey"	"34"	"March"	"3"			58788
	"New Jersey"	"34"	"April"	"4"	"2016"	"2016"	8118
	"New Jersey"	"34"	"April"	"4"	"2017"	"2017"	7782
	"New Jersey"	"34"	"April"	"4"	"2018"	"2018"	8157
	"New Jersey"	"34"	"April"	"4"	"2019"	"2019"	8069
	"New Jersey"	"34"	"April"	"4"	"2020"	"2020"	7849
	"New Jersey"	"34"	"April"	"4"	"2021"	"2021"	8376
	"New Jersey"	"34"	"April"	"4"	"2022"	"2022"	8192
"Total"	"New Jersey"	"34"	"April"	"4"			56543
	"New Jersey"	"34"	"May"	"5"	"2016"	"2016"	8704
	"New Jersey"	"34"	"May"	"5"	"2017"	"2017"	8531
	"New Jersey"	"34"	"May"	"5"	"2018"	"2018"	8648
	"New Jersey"	"34"	"May"	"5"	"2019"	"2019"	8456
	"New Jersey"	"34"	"May"	"5"	"2020"	"2020"	8398
	"New Jersey"	"34"	"May"	"5"	"2021"	"2021"	8337
	"New Jersey"	"34"	"May"	"5"	"2022"	"2022"	8332
"Total"	"New Jersey"	"34"	"May"	"5"			59406
	"New Jersey"	"34"	"June"	"6"	"2016"	"2016"	8766
	"New Jersey"	"34"	"June"	"6"	"2017"	"2017"	8652
	"New Jersey"	"34"	"June"	"6"	"2018"	"2018"	8619
	"New Jersey"	"34"	"June"	"6"	"2019"	"2019"	8354
	"New Jersey"	"34"	"June"	"6"	"2020"	"2020"	8446
	"New Jersey"	"34"	"June"	"6"	"2021"	"2021"	8852
	"New Jersey"	"34"	"June"	"6"	"2022"	"2022"	8638
"Total"	"New Jersey"	"34"	"June"	"6"			60327
	"New Jersey"	"34"	"July"	"7"	"2016"	"2016"	9137
	"New Jersey"	"34"	"July"	"7"	"2017"	"2017"	8920
	"New Jersey"	"34"	"July"	"7"	"2018"	"2018"	8820
	"New Jersey"	"34"	"July"	"7"	"2019"	"2019"	8803
	"New Jersey"	"34"	"July"	"7"	"2020"	"2020"	8719
	"New Jersey"	"34"	"July"	"7"	"2021"	"2021"	9161
	"New Jersey"	"34"	"July"	"7"	"2022"	"2022"	9114
"Total"	"New Jersey"	"34"	"July"	"7"			62674
	"New Jersey"	"34"	"August"	"8"	"2016"	"2016"	9006
	"New Jersey"	"34"	"August"	"8"	"2017"	"2017"	9175
	"New Jersey"	"34"	"August"	"8"	"2018"	"2018"	9270
	"New Jersey"	"34"	"August"	"8"	"2019"	"2019"	9109
	"New Jersey"	"34"	"August"	"8"	"2020"	"2020"	8657
	"New Jersey"	"34"	"August"	"8"	"2021"	"2021"	9210
	"New Jersey"	"34"	"August"	"8"	"2022"	"2022"	9298
"Total"	"New Jersey"	"34"	"August"	"8"			63725
	"New Jersey"	"34"	"September"	"9"	"2016"	"2016"	8862
	"New Jersey"	"34"	"September"	"9"	"2017"	"2017"	8735
	"New Jersey"	"34"	"September"	"9"	"2018"	"2018"	8624
	"New Jersey"	"34"	"September"	"9"	"2019"	"2019"	8785
	"New Jersey"	"34"	"September"	"9"	"2020"	"2020"	8652
	"New Jersey"	"34"	"September"	"9"	"2021"	"2021"	9024
	"New Jersey"	"34"	"September"	"9"	"2022"	"2022"	8580
"Total"	"New Jersey"	"34"	"September"	"9"			61262
	"New Jersey"	"34"	"October"	"10"	"2016"	"2016"	8540
	"New Jersey"	"34"	"October"	"10"	"2017"	"2017"	8640
	"New Jersey"	"34"	"October"	"10"	"2018"	"2018"	8650
	"New Jersey"	"34"	"October"	"10"	"2019"	"2019"	8556
	"New Jersey"	"34"	"October"	"10"	"2020"	"2020"	7943
	"New Jersey"	"34"	"October"	"10"	"2021"	"2021"	8783
	"New Jersey"	"34"	"October"	"10"	"2022"	"2022"	8716
"Total"	"New Jersey"	"34"	"October"	"10"			59828
	"New Jersey"	"34"	"November"	"11"	"2016"	"2016"	8352
	"New Jersey"	"34"	"November"	"11"	"2017"	"2017"	8502
	"New Jersey"	"34"	"November"	"11"	"2018"	"2018"	8062
	"New Jersey"	"34"	"November"	"11"	"2019"	"2019"	7989
	"New Jersey"	"34"	"November"	"11"	"2020"	"2020"	7784
	"New Jersey"	"34"	"November"	"11"	"2021"	"2021"	8297
	"New Jersey"	"34"	"November"	"11"	"2022"	"2022"	8695
"Total"	"New Jersey"	"34"	"November"	"11"			57681
	"New Jersey"	"34"	"December"	"12"	"2016"	"2016"	8557
	"New Jersey"	"34"	"December"	"12"	"2017"	"2017"	8288
	"New Jersey"	"34"	"December"	"12"	"2018"	"2018"	8185
	"New Jersey"	"34"	"December"	"12"	"2019"	"2019"	8098
	"New Jersey"	"34"	"December"	"12"	"2020"	"2020"	7616
	"New Jersey"	"34"	"December"	"12"	"2021"	"2021"	8444
	"New Jersey"	"34"	"December"	"12"	"2022"	"2022"	8774
"Total"	"New Jersey"	"34"	"December"	"12"			57962
"Total"	"New Jersey"	"34"					707049
	"New Mexico"	"35"	"January"	"1"	"2016"	"2016"	2063
	"New Mexico"	"35"	"January"	"1"	"2017"	"2017"	1990
	"New Mexico"	"35"	"January"	"1"	"2018"	"2018"	1877
	"New Mexico"	"35"	"January"	"1"	"2019"	"2019"	1882
	"New Mexico"	"35"	"January"	"1"	"2020"	"2020"	1816
	"New Mexico"	"35"	"January"	"1"	"2021"	"2021"	1671
	"New Mexico"	"35"	"January"	"1"	"2022"	"2022"	1728
"Total"	"New Mexico"	"35"	"January"	"1"			13027
	"New Mexico"	"35"	"February"	"2"	"2016"	"2016"	1987
	"New Mexico"	"35"	"February"	"2"	"2017"	"2017"	1838
	"New Mexico"	"35"	"February"	"2"	"2018"	"2018"	1740
	"New Mexico"	"35"	"February"	"2"	"2019"	"2019"	1624
	"New Mexico"	"35"	"February"	"2"	"2020"	"2020"	1722
	"New Mexico"	"35"	"February"	"2"	"2021"	"2021"	1573
	"New Mexico"	"35"	"February"	"2"	"2022"	"2022"	1580
"Total"	"New Mexico"	"35"	"February"	"2"			12064
	"New Mexico"	"35"	"March"	"3"	"2016"	"2016"	2053
	"New Mexico"	"35"	"March"	"3"	"2017"	"2017"	2046
	"New Mexico"	"35"	"March"	"3"	"2018"	"2018"	1856
	"New Mexico"	"35"	"March"	"3"	"2019"	"2019"	1840
	"New Mexico"	"35"	"March"	"3"	"2020"	"2020"	1861
	"New Mexico"	"35"	"March"	"3"	"2021"	"2021"	1729
	"New Mexico"	"35"	"March"	"3"	"2022"	"2022"	1812
"Total"	"New Mexico"	"35"	"March"	"3"			13197
	"New Mexico"	"35"	"April"	"4"	"2016"	"2016"	1945
	"New Mexico"	"35"	"April"	"4"	"2017"	"2017"	1828
	"New Mexico"	"35"	"April"	"4"	"2018"	"2018"	1775
	"New Mexico"	"35"	"April"	"4"	"2019"	"2019"	1856
	"New Mexico"	"35"	"April"	"4"	"2020"	"2020"	1756
	"New Mexico"	"35"	"April"	"4"	"2021"	"2021"	1734
	"New Mexico"	"35"	"April"	"4"	"2022"	"2022"	1699
"Total"	"New Mexico"	"35"	"April"	"4"			12593
	"New Mexico"	"35"	"May"	"5"	"2016"	"2016"	2023
	"New Mexico"	"35"	"May"	"5"	"2017"	"2017"	1954
	"New Mexico"	"35"	"May"	"5"	"2018"	"2018"	1972
	"New Mexico"	"35"	"May"	"5"	"2019"	"2019"	1954
	"New Mexico"	"35"	"May"	"5"	"2020"	"2020"	1818
	"New Mexico"	"35"	"May"	"5"	"2021"	"2021"	1732
	"New Mexico"	"35"	"May"	"5"	"2022"	"2022"	1769
"Total"	"New Mexico"	"35"	"May"	"5"			13222
	"New Mexico"	"35"	"June"	"6"	"2016"	"2016"	2070
	"New Mexico"	"35"	"June"	"6"	"2017"	"2017"	1960
	"New Mexico"	"35"	"June"	"6"	"2018"	"2018"	1813
	"New Mexico"	"35"	"June"	"6"	"2019"	"2019"	1892
	"New Mexico"	"35"	"June"	"6"	"2020"	"2020"	1783
	"New Mexico"	"35"	"June"	"6"	"2021"	"2021"	1828
	"New Mexico"	"35"	"June"	"6"	"2022"	"2022"	1729
"Total"	"New Mexico"	"35"	"June"	"6"			13075
	"New Mexico"	"35"	"July"	"7"	"2016"	"2016"	2149
	"New Mexico"	"35"	"July"	"7"	"2017"	"2017"	2123
	"New Mexico"	"35"	"July"	"7"	"2018"	"2018"	2041
	"New Mexico"	"35"	"July"	"7"	"2019"	"2019"	2048
	"New Mexico"	"35"	"July"	"7"	"2020"	"2020"	1943
	"New Mexico"	"35"	"July"	"7"	"2021"	"2021"	1877
	"New Mexico"	"35"	"July"	"7"	"2022"	"2022"	2028
"Total"	"New Mexico"	"35"	"July"	"7"			14209
	"New Mexico"	"35"	"August"	"8"	"2016"	"2016"	2230
	"New Mexico"	"35"	"August"	"8"	"2017"	"2017"	2166
	"New Mexico"	"35"	"August"	"8"	"2018"	"2018"	2079
	"New Mexico"	"35"	"August"	"8"	"2019"	"2019"	2115
	"New Mexico"	"35"	"August"	"8"	"2020"	"2020"	1999
	"New Mexico"	"35"	"August"	"8"	"2021"	"2021"	1863
	"New Mexico"	"35"	"August"	"8"	"2022"	"2022"	2018
"Total"	"New Mexico"	"35"	"August"	"8"			14470
	"New Mexico"	"35"	"September"	"9"	"2016"	"2016"	2130
	"New Mexico"	"35"	"September"	"9"	"2017"	"2017"	2097
	"New Mexico"	"35"	"September"	"9"	"2018"	"2018"	2115
	"New Mexico"	"35"	"September"	"9"	"2019"	"2019"	2028
	"New Mexico"	"35"	"September"	"9"	"2020"	"2020"	1931
	"New Mexico"	"35"	"September"	"9"	"2021"	"2021"	1910
	"New Mexico"	"35"	"September"	"9"	"2022"	"2022"	1827
"Total"	"New Mexico"	"35"	"September"	"9"			14038
	"New Mexico"	"35"	"October"	"10"	"2016"	"2016"	2090
	"New Mexico"	"35"	"October"	"10"	"2017"	"2017"	2005
	"New Mexico"	"35"	"October"	"10"	"2018"	"2018"	1986
	"New Mexico"	"35"	"October"	"10"	"2019"	"2019"	1978
	"New Mexico"	"35"	"October"	"10"	"2020"	"2020"	1870
	"New Mexico"	"35"	"October"	"10"	"2021"	"2021"	1818
	"New Mexico"	"35"	"October"	"10"	"2022"	"2022"	1822
"Total"	"New Mexico"	"35"	"October"	"10"			13569
	"New Mexico"	"35"	"November"	"11"	"2016"	"2016"	1976
	"New Mexico"	"35"	"November"	"11"	"2017"	"2017"	1877
	"New Mexico"	"35"	"November"	"11"	"2018"	"2018"	1859
	"New Mexico"	"35"	"November"	"11"	"2019"	"2019"	1896
	"New Mexico"	"35"	"November"	"11"	"2020"	"2020"	1647
	"New Mexico"	"35"	"November"	"11"	"2021"	"2021"	1793
	"New Mexico"	"35"	"November"	"11"	"2022"	"2022"	1799
"Total"	"New Mexico"	"35"	"November"	"11"			12847
	"New Mexico"	"35"	"December"	"12"	"2016"	"2016"	1976
	"New Mexico"	"35"	"December"	"12"	"2017"	"2017"	1883
	"New Mexico"	"35"	"December"	"12"	"2018"	"2018"	1926
	"New Mexico"	"35"	"December"	"12"	"2019"	"2019"	1847
	"New Mexico"	"35"	"December"	"12"	"2020"	"2020"	1757
	"New Mexico"	"35"	"December"	"12"	"2021"	"2021"	1863
	"New Mexico"	"35"	"December"	"12"	"2022"	"2022"	1803
"Total"	"New Mexico"	"35"	"December"	"12"			13055
"Total"	"New Mexico"	"35"					159366
	"New York"	"36"	"January"	"1"	"2016"	"2016"	19131
	"New York"	"36"	"January"	"1"	"2017"	"2017"	18577
	"New York"	"36"	"January"	"1"	"2018"	"2018"	19056
	"New York"	"36"	"January"	"1"	"2019"	"2019"	18289
	"New York"	"36"	"January"	"1"	"2020"	"2020"	17981
	"New York"	"36"	"January"	"1"	"2021"	"2021"	15172
	"New York"	"36"	"January"	"1"	"2022"	"2022"	16623
"Total"	"New York"	"36"	"January"	"1"			124829
	"New York"	"36"	"February"	"2"	"2016"	"2016"	18190
	"New York"	"36"	"February"	"2"	"2017"	"2017"	17235
	"New York"	"36"	"February"	"2"	"2018"	"2018"	16744
	"New York"	"36"	"February"	"2"	"2019"	"2019"	16294
	"New York"	"36"	"February"	"2"	"2020"	"2020"	16693
	"New York"	"36"	"February"	"2"	"2021"	"2021"	15248
	"New York"	"36"	"February"	"2"	"2022"	"2022"	15595
"Total"	"New York"	"36"	"February"	"2"			115999
	"New York"	"36"	"March"	"3"	"2016"	"2016"	19086
	"New York"	"36"	"March"	"3"	"2017"	"2017"	19007
	"New York"	"36"	"March"	"3"	"2018"	"2018"	18703
	"New York"	"36"	"March"	"3"	"2019"	"2019"	17907
	"New York"	"36"	"March"	"3"	"2020"	"2020"	17746
	"New York"	"36"	"March"	"3"	"2021"	"2021"	17804
	"New York"	"36"	"March"	"3"	"2022"	"2022"	17147
"Total"	"New York"	"36"	"March"	"3"			127400
	"New York"	"36"	"April"	"4"	"2016"	"2016"	19073
	"New York"	"36"	"April"	"4"	"2017"	"2017"	18288
	"New York"	"36"	"April"	"4"	"2018"	"2018"	18012
	"New York"	"36"	"April"	"4"	"2019"	"2019"	17965
	"New York"	"36"	"April"	"4"	"2020"	"2020"	17164
	"New York"	"36"	"April"	"4"	"2021"	"2021"	17293
	"New York"	"36"	"April"	"4"	"2022"	"2022"	16680
"Total"	"New York"	"36"	"April"	"4"			124475
	"New York"	"36"	"May"	"5"	"2016"	"2016"	19891
	"New York"	"36"	"May"	"5"	"2017"	"2017"	19249
	"New York"	"36"	"May"	"5"	"2018"	"2018"	19546
	"New York"	"36"	"May"	"5"	"2019"	"2019"	18780
	"New York"	"36"	"May"	"5"	"2020"	"2020"	17871
	"New York"	"36"	"May"	"5"	"2021"	"2021"	17790
	"New York"	"36"	"May"	"5"	"2022"	"2022"	17340
"Total"	"New York"	"36"	"May"	"5"			130467
	"New York"	"36"	"June"	"6"	"2016"	"2016"	19591
	"New York"	"36"	"June"	"6"	"2017"	"2017"	19498
	"New York"	"36"	"June"	"6"	"2018"	"2018"	19355
	"New York"	"36"	"June"	"6"	"2019"	"2019"	18556
	"New York"	"36"	"June"	"6"	"2020"	"2020"	18077
	"New York"	"36"	"June"	"6"	"2021"	"2021"	18496
	"New York"	"36"	"June"	"6"	"2022"	"2022"	17650
"Total"	"New York"	"36"	"June"	"6"			131223
	"New York"	"36"	"July"	"7"	"2016"	"2016"	20547
	"New York"	"36"	"July"	"7"	"2017"	"2017"	20266
	"New York"	"36"	"July"	"7"	"2018"	"2018"	19656
	"New York"	"36"	"July"	"7"	"2019"	"2019"	19834
	"New York"	"36"	"July"	"7"	"2020"	"2020"	18834
	"New York"	"36"	"July"	"7"	"2021"	"2021"	18860
	"New York"	"36"	"July"	"7"	"2022"	"2022"	18450
"Total"	"New York"	"36"	"July"	"7"			136447
	"New York"	"36"	"August"	"8"	"2016"	"2016"	21163
